gene	Oocyte	Zygote	Two-cell	Four-cell	Eight-cell	Morula	Blast
Hscb	0.508650471756099	0.657697866507039	0.127664934980128	0.193898900951856	0.0867127527954296	0.17027402257852	0.211288364596075
Gif	0.000850253929798611	0.00315307818620841	0	0	0	0	0
Rilp	0.00193156939393818	0.00437456672017845	0.0126434854585027	0	0	0.00827062268265031	0.00238523539597996
Taf9	0.414241447959194	0.700453366416914	0.127036168009205	0.0393826010314038	0	0.0934986000326316	0.0292021900867812
Maob	0.216477406915851	0.152927090985463	0.0587101984857502	0	0	0	0
Dph2	0.00536043971995765	0.00389771896757178	0.22717366499941	0.20643307939662	0.200977662490227	0.199977177404468	0.0679210113288263
Pask	0.0199810301877187	0.00956776909418731	0.0534841730807522	0.149153886294325	0.00283276836020597	0.107075843573535	0.103682748255142
Hacd1	0.0609010076994737	0.0806723519516129	0.0307041703431222	0.00298691652925346	0	0.0410988099663655	0.11778700668971
Olfr714	0	0	0.00201256777866717	0	0.00170145527891464	0.000281253196371732	8.51072022799864e-05
Fbxo48	0.00039361062433597	0.00299668191927294	0.000194294363214247	0	0	0	0.00716385376554292
Wdr7	0.0570565407468499	0.0187180906726659	0.0303402966861541	0.0839721892812857	0.0657831096324288	0.0597659557908097	0.115663588760906
Zfp784	0.00241767767963226	0.00384866772269489	0.00251231706297152	0	0	0	0
RP23-414I24.8	0	0	0.000276851766034142	0	0	0	0.00156405789927015
Fiz1	0.187279409212434	0.184737184932552	0.693416766191589	0.225739996044138	0.350462662680447	0.286199094343478	0.169810764162662
Olfr393	0.000645723554299257	0.000801954614008076	0.000823606073630592	0	0	0	0.00380808532760114
Col5a2	0	0	0.0100085067198159	0	0.000218190382424845	0	0.0340121562611785
G6pc2	0.000338152677261851	0.00188380851142542	0.00238980953058462	0	0	0	0
Notch3	0	0.00130144088090343	0.013489662147335	0.0342763759873881	0	0	0.0597896251244053
Wdr54	0	0	0.0200188508264571	0	0	0.00177944795616572	0
Prr15	0.00631964881225173	0.00434305303142813	0.0134451223779854	0	0	0	0
